Study_Hours,Exam_Score
-7.338988091,-7.729953963
-7.740040556,-7.264665138
-1.686652711,7.793442478
4.422197633,3.071946536
-8.917751726,-7.888195904
5.497538459,1.813231154
-2.336016697,9.399603508
5.052810291,1.409445131
-2.988371861,8.828627152
-3.70050112,9.670839737
-3.110904235,10.86656431
4.996894322,1.280260089
-2.300334028,7.054616004
-3.924568365,8.593640805
-7.53026976,-7.367234977
-3.211250717,8.686623982
-8.507169629,-6.832024647
2.61473625,2.159623999
-2.412120074,9.982931119
-1.922340529,11.20474175
-1.350602044,8.19360381
-2.670483335,9.418336985
5.61499857,1.826112302
-6.991955241,-7.101079193
-2.972615316,8.548556375
-6.349823013,-5.438540973
-7.456398522,-6.124718367
3.821658153,4.06555696
4.627632063,1.075915312
-3.398712053,8.198475843
-3.499733948,8.447988399
-3.580090121,9.496758543
-6.049291375,-7.736193419
-2.295103879,7.768547349
-8.394818253,-5.513235326
-2.281737688,10.32142888
-6.122638575,-7.802274917
4.884845407,1.466226509
-6.986657551,-7.915351916
4.981634812,3.849340523
5.906789985,1.265500218
-2.251647232,8.939840212
-7.367233415,-7.312667781
4.525338991,3.210985996
-2.543909393,7.845608091
-2.147802018,10.55232269
-6.808060954,-7.35776704
4.154515288,2.055043823
-6.542024529,-7.291986559
6.225895652,0.735354185
4.715683394,1.296007972
-6.887599832,-5.400165454
-6.513028945,-7.81998938
-1.031303578,8.49601591
-5.700330007,-6.812591112
5.154926523,5.825901175
-6.485175049,-7.301094074
-1.545821494,9.427067055
4.753396181,2.635300358
-2.969836394,10.07140835
-6.644012633,-6.109244399
6.772912211,0.021081884
5.539478712,2.280469205
-3.800746383,-5.760534682
-7.12859134,-5.908538642
3.741464165,2.465088855
3.921434615,1.759722532
-6.168012313,-8.004751685
-8.583009631,-6.935657292
-3.571501337,9.487878559
5.945357643,1.994173526
-5.821202704,-8.63884908
-7.579352699,-6.666129683
-2.035959998,8.941457216
-2.901305776,7.55077118
-6.609170365,-6.930347703
-8.947069291,-6.969229633
3.880746175,2.12356347
-3.109836313,8.722592378
5.819318957,1.503994032
-3.522028743,9.328533461
-2.581207745,10.01781903
-6.378710004,-7.857664838
-2.177934192,9.989831255
5.590302674,1.396266028
-6.043935079,-8.009816448
-5.711845129,-6.62568875
-0.643423112,9.488119049
6.405333077,2.378151395
-3.886866991,8.076461088
-8.549032472,-6.336749401
-2.545023662,10.57892978
